,y,U_0,U_1,U_2,U_mag,U_mag_mm_per_s,y_um,Relative Error
368,2.37475e-05,0.00115887,-2.30981e-11,5.764250000000001e-28,0.0011588700000000002,1.1588700000000003,23.7475,0.0018424974999997623
369,2.39479e-05,0.0011529,-2.56502e-11,5.359180000000001e-28,0.0011529000000000003,1.1529000000000003,23.9479,0.0019992342360000137
370,2.41483e-05,0.00114692,-2.82022e-11,4.954110000000001e-28,0.0011469200000000005,1.1469200000000004,24.1483,0.0021305095106662897
371,2.43487e-05,0.00114095,-3.07543e-11,4.54905e-28,0.0011409500000000004,1.1409500000000004,24.3487,0.002222989990666354
372,2.45491e-05,0.00113497,-3.33064e-11,4.14398e-28,0.0011349700000000003,1.1349700000000003,24.5491,0.0022900090093330347
373,2.47495e-05,0.001129,-3.58585e-11,3.73892e-28,0.0011290000000000007,1.1290000000000007,24.7495,0.0023182332333329114
374,2.49499e-05,0.00112302,-3.84105e-11,3.33385e-28,0.0011230200000000006,1.1230200000000006,24.9499,0.002320995995999849
375,2.51503e-05,0.00111702,-4.09736e-11,2.92578e-28,0.0011170200000000007,1.1170200000000008,25.150299999999998,0.0023049639639993735
376,2.53507e-05,0.00111101,-4.354e-11,2.51839e-28,0.0011110100000000008,1.1110100000000007,25.3507,0.002263470470666107
377,2.55511e-05,0.00110501,-4.61063e-11,2.11101e-28,0.0011050100000000009,1.105010000000001,25.5511,0.002183182182666036
378,2.57515e-05,0.001099,-4.86727e-11,1.70362e-28,0.001099000000000001,1.099000000000001,25.7515,0.00207743243333273
379,2.59519e-05,0.00109299,-5.1239e-11,1.29624e-28,0.0010929900000000014,1.0929900000000015,25.951900000000002,0.0019395545559993306
380,2.61523e-05,0.00108698,-5.38054e-11,8.88852e-29,0.0010869800000000013,1.0869800000000014,26.1523,0.0017695485506655413
381,2.63527e-05,0.00108097,-5.63717e-11,4.81466e-29,0.0010809700000000016,1.0809700000000015,26.3527,0.0015674144173323985
382,2.65531e-05,0.00107496,-5.89381e-11,7.4081e-30,0.0010749600000000015,1.0749600000000015,26.5531,0.0013331521559991621
383,2.67535e-05,0.00106895,-6.15044e-11,-3.33304e-29,0.0010689500000000017,1.0689500000000016,26.7535,0.001066761766665832
384,2.69539e-05,0.00106295,-6.40708e-11,-7.4069e-29,0.001062950000000002,1.062950000000002,26.9539,0.000761576582665254
385,2.71543e-05,0.00105694,-6.66371e-11,-1.14808e-28,0.001056940000000002,1.056940000000002,27.1543,0.0004309299373318846
386,2.73547e-05,0.00105093,-6.92035e-11,-1.55546e-28,0.0010509300000000024,1.0509300000000024,27.3547,6.815516399856965e-05
387,2.75551e-05,0.0010445,-7.02698e-11,-1.46101e-28,0.0010445000000000025,1.0445000000000024,27.5551,-4.6747737334928985e-05
388,2.77555e-05,0.00103741,-6.89328e-11,-5.62496e-29,0.0010374100000000023,1.0374100000000024,27.755499999999998,0.0002462212333316967
389,2.79559e-05,0.00103031,-6.75957e-11,3.36021e-29,0.0010303100000000022,1.030310000000002,27.9559,0.0005137287426652352
390,2.81563e-05,0.00102322,-6.62586e-11,1.23454e-28,0.0010232200000000022,1.0232200000000022,28.1563,0.0007424414573318217
391,2.83567e-05,0.00101612,-6.49215e-11,2.13305e-28,0.001016120000000002,1.0161200000000021,28.3567,0.0009456927106653209
392,2.85571e-05,0.00100903,-6.35845e-11,3.03157e-28,0.001009030000000002,1.0090300000000019,28.557100000000002,0.001110149169332016
393,2.87575e-05,0.00100193,-6.22474e-11,3.93009e-28,0.001001930000000002,1.001930000000002,28.7575,0.001249144166665624
394,2.89579e-05,0.000994838,-6.09103e-11,4.82861e-28,0.000994838000000002,0.994838000000002,28.9579,0.0013506777026652077
395,2.91583e-05,0.000987743,-5.95732e-11,5.72712e-28,0.0009877430000000016,0.9877430000000016,29.1583,0.0014220831106655691
396,2.93587e-05,0.000980648,-5.82361e-11,6.62564e-28,0.0009806480000000017,0.9806480000000017,29.3587,0.0014613603906653931
